model,b1,log10c0,p1,E1,E2,log10delta1,log10delta2,pop_frac1,pop_frac2,strategy1,strategy2,batches,steady_state,fullname
1,0.5,0,0.5,1,0.975,-1.5,-1.5,1,7.79E-16,0.318987037,0.323615522,2194,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_124.mat
1,0.5,0,0.5,1,0.975,-1.5,-1,0.500000001,0.499999999,1.79413064011024e-312,1,1036,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_125.mat
1,0.5,0,0.5,1,0.975,-1.5,-0.5,0.500000001,0.499999999,1.79413064011024e-312,1,1036,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_126.mat
1,0.5,0,0.5,1,0.975,-1.5,0,0.500000001,0.499999999,1.79413064011024e-312,1,1036,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_127.mat
1,0.5,0,0.5,1,0.975,-1,-2.5,0.500000001,0.499999999,1,1.7129865055187e-312,1036,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_128.mat
1,0.5,0,0.5,1,0.975,-1,-2,0.500000001,0.499999999,1,1.72309552572754e-312,1036,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_129.mat
1,0.5,0,0.5,1,0.9,-2,0,0.500000003,0.499999997,1.81049995759491e-312,1,1036,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_13.mat
1,0.5,0,0.5,1,0.975,-1,-1.5,0.500000001,0.499999999,1,1.75866759141531e-312,1036,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_130.mat
1,0.5,0,0.5,1,0.975,-1,-1,1,9.16E-16,0.666221425,0.661749787,2205,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_131.mat
1,0.5,0,0.5,1,0.975,-1,-0.5,0.500000001,0.499999999,1.82293710094616e-312,1,1037,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_132.mat
1,0.5,0,0.5,1,0.975,-1,0,0.500000001,0.499999999,1.82293710094616e-312,1,1037,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_133.mat
1,0.5,0,0.5,1,0.975,-0.5,-2.5,0.500000001,0.499999999,1,1.7129865055187e-312,1036,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_134.mat
1,0.5,0,0.5,1,0.975,-0.5,-2,0.500000001,0.499999999,1,1.72309552572754e-312,1036,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_135.mat
1,0.5,0,0.5,1,0.975,-0.5,-1.5,0.500000001,0.499999999,1,1.75866759141531e-312,1036,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_136.mat
1,0.5,0,0.5,1,0.975,-0.5,-1,0.500000001,0.499999999,1,1.76639385765715e-312,1037,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_137.mat
1,0.5,0,0.5,1,0.975,-0.5,-0.5,1,1.59E-14,0.639383825,0.632572821,2480,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_138.mat
1,0.5,0,0.5,1,0.975,-0.5,0,0.500000001,0.499999999,1.00945811077895e-312,1,1039,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_139.mat
1,0.5,0,0.5,1,0.9,-1.5,-2.5,0.500000003,0.499999997,3.70044105529208e-312,1,1035,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_14.mat
1,0.5,0,0.5,1,0.975,0,-2.5,0.500000001,0.499999999,1,1.7129865055187e-312,1036,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_140.mat
1,0.5,0,0.5,1,0.975,0,-2,0.500000001,0.499999999,1,1.72309552572754e-312,1036,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_141.mat
